

2024-08-23 21:03:22.827718
21:03:222024-08-23 21:03:24,255 - __main__ - DEBUG - [envy.py:57] - choosing role
2024-08-23 21:05:12,103 - __main__ - INFO - [client.py:163] - received message from: server -> (Job: NV_jobProcessor1_001 Allocation: (29, 10, '[901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919, 920, 921, 922, 923, 924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 958, 959, 960, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 979, 980, 981, 982, 983, 984, 985, 986, 987, 988, 989, 990, 991, 992, 993, 994, 995, 996, 997, 998, 999, 1000]', 'LAB5-05', 'inprogress'))
2024-08-23 21:05:12,233 - __main__ - DEBUG - [envy.py:256] - executing: await NV.PLUGIN_eHoudini(self, '{"Allocation_Id": 29, "Purpose": "simulation", "Tasks": {"924": 1024, "925": 1025, "926": 1026, "927": 1027, "928": 1028, "929": 1029, "930": 1030, "931": 1031, "932": 1032, "933": 1033, "934": 1034, "935": 1035, "936": 1036, "937": 1037, "938": 1038, "939": 1039, "940": 1040, "941": 1041, "942": 1042, "943": 1043, "944": 1044, "945": 1045, "946": 1046, "947": 1047, "948": 1048, "949": 1049, "950": 1050, "951": 1051, "952": 1052, "953": 1053, "954": 1054, "955": 1055, "956": 1056, "957": 1057, "958": 1058, "959": 1059, "960": 1060, "961": 1061, "962": 1062, "963": 1063, "964": 1064, "965": 1065, "966": 1066, "967": 1067, "968": 1068, "969": 1069, "970": 1070, "971": 1071, "972": 1072, "973": 1073, "974": 1074, "975": 1075, "976": 1076, "977": 1077, "978": 1078, "979": 1079, "980": 1080, "981": 1081, "982": 1082, "983": 1083, "984": 1084, "985": 1085, "986": 1086, "987": 1087, "988": 1088, "989": 1089, "990": 1090, "991": 1091, "992": 1092, "993": 1093, "994": 1094, "995": 1095, "996": 1096, "997": 1097, "998": 1098, "999": 1099, "1000": 1100}, "Environment": {"Start_Frame": {"/obj/billowy_smoke/smoke_sim/f1": 1001}, "End_Frame": {"/obj/billowy_smoke/smoke_sim/f2": 1100}, "Substeps": {"/obj/billowy_smoke/smoke_sim/substeps": 1.0}, "Version": {"/obj/billowy_smoke/smoke_sim/NVversion": 2.0}, "Target_Button": "/obj/billowy_smoke/smoke_sim/execute", "HIP": "Z:/school/Ehoudini/jobProcessor.hipnc", "JOB": "C:/Users/Nathan.v0602", "Job_Type": "resumable_simulation", "Dopnet_Initial_State_Parm": "/obj/billowysmoke_simulation/initialstate", "Dopnet_Start_Frame_Parm": "/obj/billowysmoke_simulation/startframe", "Checkpoint_File_Path": ["/obj/billowysmoke_simulation/explicitcachename", "Z:/school/Ehoudini/checkpoint/billowysmoke_simulation/$HIPNAME.$OS.$STARTFRAMETOKEN.$SF4.sim"], "Checkpoint_Trail_Length": ["/obj/billowysmoke_simulation/explicitcachensteps", 1], "Checkpoint_Interval": ["/obj/billowysmoke_simulation/explicitcachecheckpointspacing", 5], "$OS": "billowysmoke_simulation"}, "Parameters": {}}', )
2024-08-23 21:05:12,257 - __main__ - INFO - [Envy_Functions.py:172] - eHoudini: Started
2024-08-23 21:05:12,258 - __main__ - DEBUG - [plugin.py:33] - Allocation Data String: {"Allocation_Id": 29, "Purpose": "simulation", "Tasks": {"924": 1024, "925": 1025, "926": 1026, "927": 1027, "928": 1028, "929": 1029, "930": 1030, "931": 1031, "932": 1032, "933": 1033, "934": 1034, "935": 1035, "936": 1036, "937": 1037, "938": 1038, "939": 1039, "940": 1040, "941": 1041, "942": 1042, "943": 1043, "944": 1044, "945": 1045, "946": 1046, "947": 1047, "948": 1048, "949": 1049, "950": 1050, "951": 1051, "952": 1052, "953": 1053, "954": 1054, "955": 1055, "956": 1056, "957": 1057, "958": 1058, "959": 1059, "960": 1060, "961": 1061, "962": 1062, "963": 1063, "964": 1064, "965": 1065, "966": 1066, "967": 1067, "968": 1068, "969": 1069, "970": 1070, "971": 1071, "972": 1072, "973": 1073, "974": 1074, "975": 1075, "976": 1076, "977": 1077, "978": 1078, "979": 1079, "980": 1080, "981": 1081, "982": 1082, "983": 1083, "984": 1084, "985": 1085, "986": 1086, "987": 1087, "988": 1088, "989": 1089, "990": 1090, "991": 1091, "992": 1092, "993": 1093, "994": 1094, "995": 1095, "996": 1096, "997": 1097, "998": 1098, "999": 1099, "1000": 1100}, "Environment": {"Start_Frame": {"/obj/billowy_smoke/smoke_sim/f1": 1001}, "End_Frame": {"/obj/billowy_smoke/smoke_sim/f2": 1100}, "Substeps": {"/obj/billowy_smoke/smoke_sim/substeps": 1.0}, "Version": {"/obj/billowy_smoke/smoke_sim/NVversion": 2.0}, "Target_Button": "/obj/billowy_smoke/smoke_sim/execute", "HIP": "Z:/school/Ehoudini/jobProcessor.hipnc", "JOB": "C:/Users/Nathan.v0602", "Job_Type": "resumable_simulation", "Dopnet_Initial_State_Parm": "/obj/billowysmoke_simulation/initialstate", "Dopnet_Start_Frame_Parm": "/obj/billowysmoke_simulation/startframe", "Checkpoint_File_Path": ["/obj/billowysmoke_simulation/explicitcachename", "Z:/school/Ehoudini/checkpoint/billowysmoke_simulation/$HIPNAME.$OS.$STARTFRAMETOKEN.$SF4.sim"], "Checkpoint_Trail_Length": ["/obj/billowysmoke_simulation/explicitcachensteps", 1], "Checkpoint_Interval": ["/obj/billowysmoke_simulation/explicitcachecheckpointspacing", 5], "$OS": "billowysmoke_simulation"}, "Parameters": {}}
2024-08-23 21:05:12,258 - __main__ - DEBUG - [plugin.py:107] - eHoudini: starting resumable simulation process
2024-08-23 21:05:12,270 - __main__ - DEBUG - [client.py:116] - sending message to server: (send_status_to_server())
2024-08-23 21:05:12,270 - __main__ - INFO - [plugin.py:76] - eHoudini: Started hython_process
2024-08-23 21:05:12,271 - __main__ - INFO - [plugin.py:145] - eHoudini: Monitoring output
2024-08-23 21:05:12,271 - __main__ - INFO - [plugin.py:151] - eHoudini: Monitoring error
2024-08-23 21:05:17,470 - __main__ - DEBUG - [plugin.py:159] - eHoudini: 00:00:00   247MB         | log started Fri Aug 23 21:05:17 2024
