

2024-08-24 22:06:03.315366
22:06:032024-08-24 22:06:03,344 - __main__ - DEBUG - [envy.py:57] - choosing role
2024-08-24 22:06:03,353 - __main__ - DEBUG - [client.py:39] - health checking server
2024-08-24 22:06:03,358 - __main__ - DEBUG - [envy.py:65] - server health check status: True
2024-08-24 22:06:03,358 - __main__ - DEBUG - [envy.py:68] - I am a Client
2024-08-24 22:06:03,358 - __main__ - INFO - [envy.py:127] - Started Envy
2024-08-24 22:06:03,358 - __main__ - DEBUG - [envy.py:148] - envy.connect: Purpose is client
2024-08-24 22:06:03,358 - __main__ - DEBUG - [envy_utils.py:94] - getting server IP
2024-08-24 22:06:03,358 - __main__ - DEBUG - [envy_utils.py:106] - server file found
2024-08-24 22:06:03,359 - __main__ - DEBUG - [envy_utils.py:110] - server ip address is: 10.1.16.36
2024-08-24 22:06:03,359 - __main__ - DEBUG - [client.py:53] - attempting to connect with server at ws://10.1.16.36:37020/client
2024-08-24 22:06:03,360 - __main__ - DEBUG - [client.py:134] - networkUtils.client started
2024-08-24 22:06:03,360 - __main__ - INFO - [client.py:146] - Client: Connected
2024-08-24 22:06:03,361 - __main__ - DEBUG - [client.py:158] - connected to: 10.1.16.36
2024-08-24 22:06:03,401 - __main__ - INFO - [client.py:163] - received message from: server -> (fill_buffer(self, 'server_name', 'lab5-15', ))
2024-08-24 22:06:03,432 - __main__ - DEBUG - [client.py:116] - sending message to server: (send_status_to_server())
2024-08-24 22:06:03,881 - __main__ - DEBUG - [envy.py:256] - executing: await NV.fill_buffer(self, 'server_name', 'lab5-15', )
2024-08-24 22:06:38,521 - __main__ - DEBUG - [client.py:172] - consumer_handler: no close frame received or sent
2024-08-24 22:06:39,542 - __main__ - WARNING - [client.py:150] - connection closed with server
2024-08-24 22:06:39,542 - __main__ - DEBUG - [client.py:189] - stopping client
2024-08-24 22:06:39,543 - __main__ - DEBUG - [client.py:98] - disconnecting websocket
2024-08-24 22:06:39,543 - __main__ - DEBUG - [client.py:106] - Connection Closed Successfully
2024-08-24 22:06:39,543 - __main__ - DEBUG - [client.py:200] - cleaning up tasks
2024-08-24 22:06:39,543 - __main__ - DEBUG - [client.py:203] - cancelling task client.consumer_handler
2024-08-24 22:06:39,543 - __main__ - DEBUG - [client.py:213] - client stopped
2024-08-24 22:06:39,543 - __main__ - DEBUG - [envy.py:197] - cleaning up envy.client_dependant_tasks
2024-08-24 22:06:39,543 - __main__ - INFO - [envy.py:213] - electing new server
2024-08-24 22:06:39,543 - __main__ - DEBUG - [envy_utils.py:148] - opening clients file at Z:/school/envy/__envytest__/Connections/clients.json
2024-08-24 22:06:39,551 - __main__ - DEBUG - [envy_utils.py:153] - returning clients: {'lab5-15': {'IP': '10.1.16.36', 'Status': 'working', 'Job': 'volumes_007_001', 'Allocation': 8}, 'lab5-07': {'IP': '10.1.16.28', 'Status': 'working', 'Job': 'volumes_004_001', 'Allocation': 5}, 'lab5-09': {'IP': '10.1.16.30', 'Status': 'working', 'Job': 'volumes_002_001', 'Allocation': 3}, 'lab3-02': {'IP': '10.1.16.102', 'Status': 'working', 'Job': 'volumes_005_001', 'Allocation': 6}, 'lab3-11': {'IP': '10.1.16.111', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'lab3-10': {'IP': '10.1.16.110', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'lab3-09': {'IP': '10.1.16.109', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'lab3-04': {'IP': '10.1.16.104', 'Status': 'idle', 'Job': None, 'Allocation': None}, 'lab3-13': {'IP': '10.1.16.113', 'Status': 'idle', 'Job': None, 'Allocation': None}}
