

2024-08-17 14:23:54.562339
14:23:542024-08-17 14:23:54,647 - __main__ - INFO - [envy.py:128] - Started Envy
2024-08-17 14:23:54,650 - __main__ - INFO - [client.py:142] - Client: Connected
2024-08-17 14:24:32,278 - __main__ - WARNING - [client.py:146] - connection closed with server
2024-08-17 14:24:32,321 - __main__ - INFO - [db.py:36] - configuring database
2024-08-17 14:24:32,530 - __main__ - INFO - [client.py:142] - Client: Connected
2024-08-17 14:24:34,049 - __main__ - INFO - [server.py:167] - executing send_status_to_server()
2024-08-17 14:24:34,334 - __main__ - INFO - [scheduler.py:91] - Scheduler: issuing task (65311572912) to lab2-03
2024-08-17 14:24:34,354 - __main__ - INFO - [scheduler.py:91] - Scheduler: issuing task (65311572916) to LAB2-12
2024-08-17 14:24:34,594 - __main__ - INFO - [envy_plugin.py:16] - Plugin-Debug: Initialized -> Frame: 3
2024-08-17 14:24:34,598 - __main__ - INFO - [envy_plugin.py:23] - Plugin-Debug: started test_process.py
2024-08-17 14:24:34,697 - __main__ - INFO - [server.py:167] - executing send_status_to_server()
2024-08-17 14:24:35,131 - __main__ - INFO - [server.py:167] - executing send_status_to_server()
2024-08-17 14:25:00,224 - __main__ - INFO - [envy_plugin.py:45] - Plugin-Debug: 0%
2024-08-17 14:25:00,224 - __main__ - INFO - [envy_plugin.py:45] - Plugin-Debug: 2%
2024-08-17 14:25:00,226 - __main__ - INFO - [envy_plugin.py:45] - Plugin-Debug: 4%
2024-08-17 14:25:00,226 - __main__ - INFO - [envy_plugin.py:45] - Plugin-Debug: 6%
2024-08-17 14:25:00,226 - __main__ - INFO - [server.py:167] - executing finish_task(): 65311572916
2024-08-17 14:25:00,242 - __main__ - INFO - [scheduler.py:133] - Scheduler: Finished task 65311572916
2024-08-17 14:25:00,243 - __main__ - INFO - [server.py:167] - executing send_status_to_server()
2024-08-17 14:25:00,243 - __main__ - INFO - [envy_plugin.py:32] - Plugin-Debug: Finished because of monitor_subprocess_output
2024-08-17 14:25:00,243 - __main__ - INFO - [server.py:167] - executing send_task_progress_to_server()
2024-08-17 14:25:00,244 - __main__ - INFO - [server.py:167] - executing send_task_progress_to_server()
2024-08-17 14:25:00,244 - __main__ - INFO - [envy_plugin.py:58] - Plugin-Debug: process finished
2024-08-17 14:25:00,334 - __main__ - INFO - [server.py:167] - executing send_task_progress_to_server()
2024-08-17 14:25:00,334 - __main__ - INFO - [server.py:167] - executing send_task_progress_to_server()
2024-08-17 14:25:00,334 - __main__ - INFO - [server.py:167] - executing finish_task(): 65311572912
